trackFolder,trackPath,trackKey,sourceTitle,sourceArtist,IllustrationPath,IllustrationSourceBundlePath,coverageStatus,catalogResourceIds,catalogMatchStatuses,canonicalResourceId,evidence
SwingSkipDrop.ミハイル.0,Assets/Tracks/SwingSkipDrop.ミハイル.0/,Assets/Tracks/SwingSkipDrop.ミハイル.0/Illustration.jpg,SwingSkipDrop,ミハイル,Assets/Tracks/SwingSkipDrop.ミハイル.0/Illustration.jpg,assets/aa/Android/b6cc2d0ce9ee5e2f48b1b6163fff09e8.bundle,covered,01a00093-97d8-7b74-91eb-1d8a2a3a1308,high,01a00093-97d8-7b74-91eb-1d8a2a3a1308,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
TECHNOPOLIS2085.PRASTIKDANCEFLOOR.0,Assets/Tracks/TECHNOPOLIS2085.PRASTIKDANCEFLOOR.0/,Assets/Tracks/TECHNOPOLIS2085.PRASTIKDANCEFLOOR.0/Illustration.jpg,TECHNOPOLIS2085,PRASTIKDANCEFLOOR,Assets/Tracks/TECHNOPOLIS2085.PRASTIKDANCEFLOOR.0/Illustration.jpg,assets/aa/Android/c9d823083a93d7ba355b628b8c43e5fc.bundle,covered,01a00093-98c7-7bd0-8d7c-e439cba4d75c,high,01a00093-98c7-7bd0-8d7c-e439cba4d75c,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
TemporalShifting.LureRabbitVC.0,Assets/Tracks/TemporalShifting.LureRabbitVC.0/,Assets/Tracks/TemporalShifting.LureRabbitVC.0/Illustration.jpg,TemporalShifting,LureRabbitVC,Assets/Tracks/TemporalShifting.LureRabbitVC.0/Illustration.jpg,assets/aa/Android/a73bd1081cd66963689cea9fbd234e0e.bundle,covered,01a00093-998b-7b02-915f-2cbb64f57a65,high,01a00093-998b-7b02-915f-2cbb64f57a65,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
TheChariotREVIIVAL.Attoclef.0,Assets/Tracks/TheChariotREVIIVAL.Attoclef.0/,Assets/Tracks/TheChariotREVIIVAL.Attoclef.0/Illustration.jpg,TheChariotREVIIVAL,Attoclef,Assets/Tracks/TheChariotREVIIVAL.Attoclef.0/Illustration.jpg,assets/aa/Android/f7e20dd4839d1f0775c8fdc2f8b693a0.bundle,covered,01a00093-9a40-7ff4-9e65-c85164a189cc,high,01a00093-9a40-7ff4-9e65-c85164a189cc,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
TheMountainEater.PaulBazooka.0,Assets/Tracks/TheMountainEater.PaulBazooka.0/,Assets/Tracks/TheMountainEater.PaulBazooka.0/Illustration.jpg,TheMountainEater,PaulBazooka,Assets/Tracks/TheMountainEater.PaulBazooka.0/Illustration.jpg,assets/aa/Android/a099e17c8bc01b8f0d3829957b6ebc0b.bundle,covered,01a00093-9b18-7131-a877-09b6607b2270,high,01a00093-9b18-7131-a877-09b6607b2270,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
TheWholeRest.KIVΛ.0,Assets/Tracks/TheWholeRest.KIVΛ.0/,Assets/Tracks/TheWholeRest.KIVΛ.0/Illustration.jpg,TheWholeRest,KIVΛ,Assets/Tracks/TheWholeRest.KIVΛ.0/Illustration.jpg,assets/aa/Android/0fd2c51fd79b1e415f0f320f4468dab6.bundle,covered,01a00093-9bf9-734a-bfac-78cb51b86c1c,confirmed,01a00093-9bf9-734a-bfac-78cb51b86c1c,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Thrashforce.KAHvsE0ri4.0,Assets/Tracks/Thrashforce.KAHvsE0ri4.0/,Assets/Tracks/Thrashforce.KAHvsE0ri4.0/Illustration.jpg,Thrashforce,KAHvsE0ri4,Assets/Tracks/Thrashforce.KAHvsE0ri4.0/Illustration.jpg,assets/aa/Android/38c9b69e8cdf85759d94c9d825211bb8.bundle,covered,01a00093-9cdb-7797-a433-11c56b2729e1,high,01a00093-9cdb-7797-a433-11c56b2729e1,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
TimetoNightSkyfeatLeeYuJin.HyuNKLYDIX.0,Assets/Tracks/TimetoNightSkyfeatLeeYuJin.HyuNKLYDIX.0/,Assets/Tracks/TimetoNightSkyfeatLeeYuJin.HyuNKLYDIX.0/Illustration.jpg,TimetoNightSkyfeatLeeYuJin,HyuNKLYDIX,Assets/Tracks/TimetoNightSkyfeatLeeYuJin.HyuNKLYDIX.0/Illustration.jpg,assets/aa/Android/5744437ddb6fa49affc93ecd2598799b.bundle,covered,01a00093-9dcc-724b-b2c3-0f398376a362,high,01a00093-9dcc-724b-b2c3-0f398376a362,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Trane.MALVA.0,Assets/Tracks/Trane.MALVA.0/,Assets/Tracks/Trane.MALVA.0/Illustration.jpg,Trane,MALVA,Assets/Tracks/Trane.MALVA.0/Illustration.jpg,assets/aa/Android/c2bb3d9223d2774e47e03d67cfae6b4c.bundle,covered,01a00093-9eb3-7de2-8261-fe4e2dd2a87e,high,01a00093-9eb3-7de2-8261-fe4e2dd2a87e,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
TriumphRegret.typeMARS.0,Assets/Tracks/TriumphRegret.typeMARS.0/,Assets/Tracks/TriumphRegret.typeMARS.0/Illustration.jpg,TriumphRegret,typeMARS,Assets/Tracks/TriumphRegret.typeMARS.0/Illustration.jpg,assets/aa/Android/9be89a0ca9225be8ad5d0a3df6827ac0.bundle,covered,01a00093-9fac-77f4-b7d3-93f7a81d856b,high,01a00093-9fac-77f4-b7d3-93f7a81d856b,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Trojan.litmus.0,Assets/Tracks/Trojan.litmus.0/,Assets/Tracks/Trojan.litmus.0/Illustration.jpg,Trojan,litmus,Assets/Tracks/Trojan.litmus.0/Illustration.jpg,assets/aa/Android/60d32ae7e655b12e69bb093945afb82d.bundle,covered,01a00093-a092-7c55-970a-c69c7fd664ad,high,01a00093-a092-7c55-970a-c69c7fd664ad,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
UnorthodoxThoughts.Joulez.0,Assets/Tracks/UnorthodoxThoughts.Joulez.0/,Assets/Tracks/UnorthodoxThoughts.Joulez.0/Illustration.jpg,UnorthodoxThoughts,Joulez,Assets/Tracks/UnorthodoxThoughts.Joulez.0/Illustration.jpg,assets/aa/Android/6cbd536ffa1093ecdc31b122c706d231.bundle,covered,01a00093-a15d-761b-91b7-bfd9c41463e8,high,01a00093-a15d-761b-91b7-bfd9c41463e8,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
