path,fileCount,totalSizeBytes,totalCompressedSizeBytes
assets/songs/dl_viyellastears,3,743571,743571
assets/songs/dl_vulcanus,3,949925,949925
assets/songs/dl_waitfordawn,3,898946,898946
assets/songs/dl_waltzforlorelei,3,896360,896360
assets/songs/dl_welcomequeen,3,1014392,1014392
assets/songs/dl_wereallgonnadie,3,673135,673135
assets/songs/dl_wishuponasnow,3,803298,803298
assets/songs/dl_withu,3,737328,737328
assets/songs/dl_wontbackdown,3,859307,859307
assets/songs/dl_worldender,3,813871,813871
assets/songs/dl_worldfragments,3,737282,737282
assets/songs/dl_worldvanquisher,3,835260,835260
assets/songs/dl_xanatos,3,874895,874895
assets/songs/dl_xeraphinite,3,731765,731765
assets/songs/dl_xterfusion,3,1003089,1003089
assets/songs/dl_xtreme,3,1111565,1111565
assets/songs/dl_xxium,3,1109277,1109277
assets/songs/dl_yomibitoshirazu,3,1049727,1049727
assets/songs/dl_yourbestnightmare,3,611534,611534
assets/songs/dl_yourvoiceso,3,539390,539390
assets/songs/dl_yozakurafubuki,3,755951,755951
assets/songs/dl_zephyrlast,3,1166565,1166565
assets/songs/epicurus,7,4106010,4049266
assets/songs/fairytale,8,3739360,3725786
assets/songs/grimheart,7,4492359,4456049
assets/songs/infinityheaven,8,4326165,4308430
assets/songs/inkarusi,8,4220380,4200557
assets/songs/jingle,7,4574938,4500356
assets/songs/lostcivilization,8,3723095,3698625
assets/songs/oblivia,8,4512838,4474563
assets/songs/onelastdrive,6,4068031,4036286
assets/songs/pack,195,49407355,49407355
assets/songs/purgatorium,8,4510830,4468430
assets/songs/random,2,54883,54883
assets/songs/reinvent,6,3796245,3765919
assets/songs/remindthesouls,6,4286680,4234938
assets/songs/rise,6,3714383,3692399
assets/songs/sakurafubuki,6,3134388,3094161
assets/songs/satisfaction,7,4168948,4093563
assets/songs/sayonarahatsukoi,7,3154519,3124556
