path,fileCount,totalSizeBytes,totalCompressedSizeBytes
assets/songs/dl_lethaeus,3,732754,732754
assets/songs/dl_lethalvoltage,3,888645,888645
assets/songs/dl_letsrock,3,817598,817598
assets/songs/dl_letyoudivermx,3,761850,761850
assets/songs/dl_liar,3,807087,807087
assets/songs/dl_libertas,5,1312231,1312231
assets/songs/dl_lifeispiano,3,591206,591206
assets/songs/dl_liftoff,3,562518,562518
assets/songs/dl_lightmyway,3,996234,996234
assets/songs/dl_lightningscrew,3,881779,881779
assets/songs/dl_lightsofmuse,3,563286,563286
assets/songs/dl_lilly,3,991586,991586
assets/songs/dl_linearaccelerator,3,744308,744308
assets/songs/dl_livefastdieyoung,3,776901,776901
assets/songs/dl_logos,3,902029,902029
assets/songs/dl_loschen,3,787850,787850
assets/songs/dl_lostdesire,3,865818,865818
assets/songs/dl_lostemotion,3,966010,966010
assets/songs/dl_lostintheabyss,3,692679,692679
assets/songs/dl_lovelessdress,3,816241,816241
assets/songs/dl_lucidtraveler,5,1114729,1114729
assets/songs/dl_lucifer,3,543437,543437
assets/songs/dl_lumia,5,1034431,1034431
assets/songs/dl_lunarossa,3,881442,881442
assets/songs/dl_macromod,3,915916,915916
assets/songs/dl_magnolia,3,822318,822318
assets/songs/dl_mahoroba,3,815074,815074
assets/songs/dl_maliciousmischance,3,778350,778350
assets/songs/dl_manicjeer,3,982842,982842
assets/songs/dl_mantis,3,878968,878968
assets/songs/dl_marenyx,3,969621,969621
assets/songs/dl_mask,3,1038994,1038994
assets/songs/dl_masqueradelegion,3,872008,872008
assets/songs/dl_matenrou,3,793601,793601
assets/songs/dl_maxrage,3,879731,879731
assets/songs/dl_mazenine,3,873235,873235
assets/songs/dl_mazymetroplex,3,962401,962401
assets/songs/dl_medusa,3,764309,764309
assets/songs/dl_megalovania,3,605936,605936
assets/songs/dl_megalovaniarmx,3,835929,835929
assets/songs/dl_melodyoflove,5,1212539,1212539
assets/songs/dl_meltyrhapsody,3,951298,951298
assets/songs/dl_memoryfactory,3,550910,550910
assets/songs/dl_memoryforest,3,710114,710114
assets/songs/dl_merlin,3,758889,758889
assets/songs/dl_metallicpunisher,3,652565,652565
assets/songs/dl_metamysteria,3,831470,831470
assets/songs/dl_miles,3,688307,688307
assets/songs/dl_mirinae,3,793707,793707
assets/songs/dl_mirrorrmx,3,823920,823920
assets/songs/dl_mirzam,3,785568,785568
assets/songs/dl_mod,3,1067876,1067876
assets/songs/dl_modelista,3,762335,762335
assets/songs/dl_monochromeprincess,3,797009,797009
assets/songs/dl_moonheart,5,1020888,1020888
assets/songs/dl_moonlightofsandcastle,3,622258,622258
assets/songs/dl_morningloom,3,701524,701524
assets/songs/dl_mu,3,656327,656327
assets/songs/dl_mukishitsu,3,664586,664586
assets/songs/dl_mvurbd,3,835489,835489
assets/songs/dl_mylifeismine,3,863531,863531
assets/songs/dl_namelesspassion,3,804220,804220
assets/songs/dl_nekonote,3,667799,667799
assets/songs/dl_neokosmo,3,889864,889864
assets/songs/dl_neowings,3,809204,809204
assets/songs/dl_newyorkbackraise,3,822771,822771
assets/songs/dl_nexttoyou,5,1159269,1159269
assets/songs/dl_nhelv,5,1381708,1381708
assets/songs/dl_nightmare,3,864376,864376
