sourcePath,sourceFile,unityVersion,pathId,name,difficulty,errorVariant,catalogKeys,formatVersion,offset,judgeLineCount,noteCount,bpms,textBytes,readError
assets/aa/Android/9e34ccee13bef65232fc43403d8bbcdf.bundle,9e34ccee13bef65232fc43403d8bbcdf.bundle,2022.3.62f2,-7218453041591418159,Chart_EZ,EZ,,49cb9aa71745e174084edf1d49db5b2f;Assets/Tracks/IMustSayNo.TangJuan.0/Chart_EZ.json,3,0.0,3,76,175.0,755405,
assets/aa/Android/9eb6cf64018a01cb695675c779896d33.bundle,9eb6cf64018a01cb695675c779896d33.bundle,2022.3.62f2,-2122680732927552520,Chart_EZ,EZ,,09b315088982c4a44ba52c85dad2d572;Assets/Tracks/Shadow.SumaiLightvs姜米條.0/Chart_EZ.json,3,0.0,5,393,172.0,116171,
assets/aa/Android/9ed60bd90ef103346c4f071e50138e87.bundle,9ed60bd90ef103346c4f071e50138e87.bundle,2022.3.62f2,-4160445560962870949,Chart_HD,HD,,Assets/Tracks/青芽.茶鸣拾贰律.0/Chart_HD.json;cb2858bc7092f44428eada094a6dc4d1,3,0.0,23,520,216.0,3054031,
assets/aa/Android/9f070bb09ee9c3d97a46855e47c4f89b.bundle,9f070bb09ee9c3d97a46855e47c4f89b.bundle,2022.3.62f2,-7965180300516190793,Chart_EZ,EZ,,Assets/Tracks/microwav.dandeless.0/Chart_EZ.json;bab16feccb83aa44bac71cbb97620b8d,3,0.0,3,196,172.0,193408,
assets/aa/Android/9f91af849076ade09036cbe21d21f3bb.bundle,9f91af849076ade09036cbe21d21f3bb.bundle,2022.3.62f2,9123357304081570393,Chart_HD,HD,,69e0f0f74343c04488a591d511b0f75b;Assets/Tracks/BetterGraphicAnimation.ルゼ.0/Chart_HD.json,3,0.0,21,469,180.0,1759312,
assets/aa/Android/9fc77fc4322c91da32369eb933236f4b.bundle,9fc77fc4322c91da32369eb933236f4b.bundle,2022.3.62f2,864291584163787699,Chart_HD,HD,,Assets/Tracks/Alb.Avans.0/Chart_HD.json;d534ad83be6fbd14daf3d8a1d838fc5e,3,0.0,5,687,140.0,1133066,
assets/aa/Android/a05d3911c6ef7665d3c98fe775d2ff67.bundle,a05d3911c6ef7665d3c98fe775d2ff67.bundle,2022.3.62f2,-8273772890248878190,Chart_AT,AT,,Assets/Tracks/YouaretheMiserable.tpazolite.0/Chart_AT.json;d79893d81db752c4083502f9860ea17e,3,0.0,16,1344,163.0,3482646,
assets/aa/Android/a082b158d2fb45e5470b01c03f88684d.bundle,a082b158d2fb45e5470b01c03f88684d.bundle,2022.3.62f2,-8181702552418034877,Chart_HD,HD,,3b8551c3ec3e348608ebee64af4b23c7;Assets/Tracks/MagentaPotion.EmoCo.0/Chart_HD.json,3,0.0,4,631,150.0,482171,
assets/aa/Android/a0a7ed81f69b34b331be0687f9f983db.bundle,a0a7ed81f69b34b331be0687f9f983db.bundle,2022.3.62f2,-5442693462157063447,Chart_EZ,EZ,,17090dde19b4b024e8cf7bfe6f1e4c59;Assets/Tracks/Random.SobremSilentroom.5/Chart_EZ.json,3,0.0,24,286,132.0,2063887,
assets/aa/Android/a0bef43a5df0e84a8e848306790e1ebb.bundle,a0bef43a5df0e84a8e848306790e1ebb.bundle,2022.3.62f2,-1019102056255008140,Chart_HD,HD,,3d887e6a8d0697e419ffc399d9d2af11;Assets/Tracks/ElCondorPasaPhigrosEdit.PlasticFruits.0/Chart_HD.json,3,0.0,23,585,150.0,1473322,
