category,width,height,fileCount
ui-layout,172,81,1
ui-layout,1724,277,1
ui-layout,1757,1584,1
ui-layout,178,122,1
ui-layout,180,31,1
ui-layout,182,181,1
ui-layout,182,37,1
ui-layout,1827,919,1
ui-layout,186,186,1
ui-layout,187,189,1
ui-layout,188,172,1
ui-layout,19,18,1
ui-layout,19,19,1
ui-layout,190,190,1
ui-layout,1902,37,1
ui-layout,191,189,1
ui-layout,191,48,1
ui-layout,192,100,1
ui-layout,192,192,1
ui-layout,192,55,1
ui-layout,1920,1110,1
ui-layout,1920,1220,1
ui-layout,1920,1301,1
ui-layout,1920,192,1
ui-layout,1920,270,1
ui-layout,1920,34,1
ui-layout,1920,800,1
ui-layout,1920,939,1
ui-layout,1920,944,1
ui-layout,1920,96,1
ui-layout,193,193,1
ui-layout,193,27,1
ui-layout,1935,106,1
ui-layout,196,196,1
ui-layout,197,65,1
ui-layout,198,20,1
ui-layout,199,91,1
ui-layout,20,249,1
ui-layout,201,201,1
ui-layout,201,58,1
ui-layout,202,29,1
ui-layout,202,3,1
ui-layout,202,75,1
ui-layout,202,84,1
ui-layout,203,63,1
ui-layout,209,64,1
ui-layout,21,15,1
ui-layout,21,21,1
ui-layout,21,43,1
ui-layout,21,72,1
ui-layout,210,124,1
ui-layout,210,145,1
ui-layout,210,150,1
ui-layout,210,210,1
ui-layout,211,211,1
ui-layout,211,62,1
ui-layout,212,212,1
ui-layout,213,29,1
ui-layout,213,47,1
ui-layout,213,58,1
ui-layout,213,62,1
ui-layout,215,78,1
ui-layout,216,216,1
ui-layout,216,59,1
ui-layout,217,86,1
ui-layout,218,19,1
ui-layout,219,541,1
ui-layout,220,94,1
ui-layout,222,830,1
ui-layout,222,99,1
ui-layout,224,43,1
ui-layout,225,109,1
ui-layout,226,49,1
ui-layout,227,240,1
ui-layout,227,27,1
ui-layout,227,35,1
ui-layout,229,48,1
ui-layout,229,7,1
ui-layout,23,23,1
ui-layout,23,377,1
ui-layout,232,132,1
ui-layout,232,28,1
ui-layout,232,53,1
ui-layout,233,375,1
ui-layout,234,233,1
ui-layout,234,234,1
ui-layout,234,25,1
ui-layout,236,1,1
ui-layout,237,85,1
ui-layout,24,149,1
ui-layout,24,24,1
ui-layout,24,386,1
ui-layout,240,40,1
ui-layout,2400,793,1
ui-layout,244,120,1
ui-layout,244,45,1
ui-layout,245,10,1
ui-layout,245,120,1
ui-layout,247,378,1
ui-layout,247,41,1
ui-layout,248,93,1
ui-layout,249,133,1
ui-layout,249,249,1
ui-layout,249,45,1
ui-layout,25,24,1
ui-layout,25,27,1
ui-layout,25,37,1
ui-layout,251,136,1
ui-layout,251,250,1
ui-layout,251,62,1
ui-layout,252,413,1
ui-layout,253,1,1
ui-layout,255,225,1
ui-layout,256,248,1
ui-layout,256,256,1
ui-layout,2560,1016,1
ui-layout,2560,1081,1
ui-layout,257,5,1
ui-layout,258,258,1
ui-layout,259,2,1
ui-layout,26,20,1
ui-layout,262,134,1
ui-layout,267,8,1
ui-layout,271,272,1
ui-layout,271,70,1
ui-layout,271,84,1
ui-layout,272,6,1
ui-layout,272,99,1
ui-layout,275,1,1
ui-layout,275,150,1
ui-layout,277,277,1
ui-layout,278,177,1
ui-layout,278,32,1
ui-layout,279,127,1
ui-layout,28,17,1
ui-layout,280,280,1
ui-layout,280,37,1
ui-layout,280,75,1
ui-layout,281,131,1
ui-layout,282,41,1
ui-layout,283,75,1
ui-layout,284,523,1
ui-layout,285,261,1
ui-layout,287,97,1
