chapterOrder,chapterCode,banner,songOrder,songsId,songsKey,songsName,composer,category,unlockType,secretType,levels,difficulty,illustrator,charter
1,Single,Single,59,Realms.HinkikAHimitsu.0,Realms,Realms,Hinkik & A Himitsu,extraSongs,1,0,EZ|HD|IN|AT,3.5|10.2|13.8|0.0,圆规compasses,Barbarianerman|Barbarianerman|NerSAN|
1,Single,Single,60,RainyHeart.BelieverInYou阿卡姆巫师.0,Rainy Heart,Rainy Heart,BelieverInYou(阿卡姆巫师),extraSongs,1,0,EZ|HD|IN|AT,4.0|9.4|12.9|0.0,Sodhelium,Su1fuR|Barbarianerman|HaraKuma|
1,Single,Single,61,NowIsTheTimeDoIt.RoyMikelate.0,"Now Is The Time, Do It","Now Is The Time, Do It",Roy Mikelate,extraSongs,1,0,EZ|HD|IN|AT,4.5|11.2|14.3|0.0,青鸟,M3d1uM|M3d1uM|Pat Brick Man Mr.N feat. Ner of Time|
1,Single,Single,62,Bougainvillea.Jade.0,Bougainvillea,Bougainvillea,Jade,extraSongs,1,0,EZ|HD|IN|AT,4.0|8.3|13.2|0.0,TNiK,Barbarvillea|Barbarvillea|Barbarvillea|
1,Single,Single,63,Random.SobremSilentroom.0,Random,Random,Sobrem × Silentroom,extraSongs,1,0,EZ|HD|IN|AT,5.5|12.2|14.7|0.0,Harkiadel,Barbarianerman|IMD_6|_鉄|
1,Single,Single,64,PoisonANDORAffection.LeaF.0,Poison AND÷OR Affection,Poison AND÷OR Affection,LeaF,extraSongs,1,0,EZ|HD|IN|AT,3.5|9.9|15.7|0.0,笔记RE/海产,R/kko|&ikko|1÷98|
1,Single,Single,65,Upshift.Iriss-Frantzz.0,Upshift,Upshift,Iriss-Frantzz,extraSongs,1,0,EZ|HD|IN|AT,6.0|10.8|15.5|0.0,Iriss=Frantzz=s-don,Lumiere|CorruptedEntity & 野从|_鉄|
1,Single,Single,66,インフェルノシティ.Ponchifeatはぁち.0,インフェルノシティ,インフェルノシティ,Ponchi♪ feat. はぁち,extraSongs,1,0,EZ|HD|IN|AT,4.5|11.5|15.7|0.0,LESYEF & 藍瀬 まなみ,Su1fuR|Alloces feat. Uvernight|Alloces|
1,Single,Single,67,青丘.BLACK0.0,青丘,青丘,BLACK 0,extraSongs,1,0,EZ|HD|IN|AT,5.5|10.5|15.5|0.0,BLACK 0,Ctymax|Su1fuR|KillJoy|
1,Single,Single,68,Pontdessouvenirs.VeetaCrushvsitsufeatitsu.0,Pont des souvenirs,Pont des souvenirs,VeetaCrush vs. [itsu(feat.itsu)],extraSongs,1,0,EZ|HD|IN|AT,5.5|10.7|15.3|0.0,林语,JKy|JKy|晨|
1,Single,Single,69,BelieveLightfeat果丸哒呦.ScalerMestie果丸哒呦.0,Believe Light (feat. 果丸哒呦),Believe Light (feat. 果丸哒呦),Scaler & Mestie & 果丸哒呦,extraSongs,1,0,EZ|HD|IN|AT,2.5|8.9|14.6|0.0,圆规compasses,Believe Ctymax|Believe TimiTini|Believe Ctymax & TimiTini|
1,Single,Single,70,BreakOver.Kforest.0,Break Over,Break Over,K-forest,extraSongs,1,0,EZ|HD|IN|AT,5.0|11.5|14.1|14.9,圆规compasses,Barbarianerman|Barbarianerman|百九十八 vs. Barbarianerman|百九十八
1,Single,Single,71,ElCondorPasaPhigrosEdit.PlasticFruits.0,El Condor Pasa (Phigros Edit),El Condor Pasa (Phigros Edit),Plastic Fruits,extraSongs,1,0,EZ|HD|IN|AT,6.5|12.5|15.6|0.0,青鸟,TimiTini|TimiTini|XMT小咩兔|
1,Single,Single,72,RainySeason.AbyssIdols.0,Rainy Season,Rainy Season,Abyss Idols,extraSongs,1,0,EZ|HD|IN|AT,5.5|10.7|14.2|0.0,Robin,StupiGGy|StupiGGy|Raiky Season|
