sourcePath,sourceFile,unityVersion,pathId,name,width,height,textureFormat,catalogKeys,readError
assets/aa/Android/08e80fb254d8904d223530cada82ec65.bundle,08e80fb254d8904d223530cada82ec65.bundle,2022.3.62f2,-691280760963565458,GoodBlur,1024,540,3,7a81287d9cacb1c47baa5a82b92fea6f;Assets/Tracks/#ChapterCover/GoodBlur.jpg,
assets/aa/Android/0915f74b5944a2e83a7b6044f3972cb4.bundle,0915f74b5944a2e83a7b6044f3972cb4.bundle,2022.3.62f2,72895640329688651,Illustration,2048,1080,3,08a81d1c0a8ee924b97306302734d2f6;Assets/Tracks/NOx.Juggernaut.0/Illustration.jpg,
assets/aa/Android/0979b1a0da60d82f96b8c76630b1585b.bundle,0979b1a0da60d82f96b8c76630b1585b.bundle,2022.3.62f2,-6928728929097744279,Illustration,2048,1080,3,5e9ad5b09db9c0e44a70779d0b2ec39d;Assets/Tracks/MagentaPotion.EmoCo.0/Illustration.jpg,
assets/aa/Android/09a7b414e0d165a8d0f18b39bba0056a.bundle,09a7b414e0d165a8d0f18b39bba0056a.bundle,2022.3.62f2,5398239856633817115,IllustrationBlur,256,135,3,6dd030335c73eac4cb68a123a32ddd73;Assets/Tracks/BRAINHACKER.SOMON.0/IllustrationBlur.jpg,
assets/aa/Android/0a091a5cbf58a58c9ab60c39957ae702.bundle,0a091a5cbf58a58c9ab60c39957ae702.bundle,2022.3.62f2,-8780837425603791907,闪亮新生活,128,128,34,avatar.闪亮新生活;b690917454ccb0348b90842de64431c2,
assets/aa/Android/0a15956daeacae406428321aac76f9bd.bundle,0a15956daeacae406428321aac76f9bd.bundle,2022.3.62f2,257235716623358061,IllustrationLowRes,512,270,3,Assets/Tracks/PANICPARADISE.DJSHIONY.0/IllustrationLowRes.jpg;eaf8ee2961d9ab141894ab30d43e41cb,
assets/aa/Android/0a5f533be4f53dcd25686bae334ff3e7.bundle,0a5f533be4f53dcd25686bae334ff3e7.bundle,2022.3.62f2,5787240104463860422,Illustration,2048,1080,3,60a213c8c8f054644a2b48f506d942fe;Assets/Tracks/NightTheater.わかどり.0/Illustration.jpg,
assets/aa/Android/0a608ec21be0b4dd573eac54d9a274d1.bundle,0a608ec21be0b4dd573eac54d9a274d1.bundle,2022.3.62f2,8725277419870339789,Illustration,2048,1080,3,031d7e830ec700341a4ff9c0f9ba1834;Assets/Tracks/青丘.BLACK0.0/Illustration.jpg,
assets/aa/Android/0acedc03b5d6afa0905214397a389292.bundle,0acedc03b5d6afa0905214397a389292.bundle,2022.3.62f2,-5282061586192809530,IllustrationBlur,256,135,3,403a63432e54ad1489a9b65c2f13b4ae;Assets/Tracks/InfinityHeaven.HyuN.0/IllustrationBlur.jpg,
assets/aa/Android/0b7f635e2bdc6802db603588e3531666.bundle,0b7f635e2bdc6802db603588e3531666.bundle,2022.3.62f2,7757550103918430809,IllustrationBlur,256,135,3,9bffd59e3ec62bd43889c2d55e942983;Assets/Tracks/NYA.FLuoRiTe姜米條.0/IllustrationBlur.jpg,
assets/aa/Android/0bec2539c32a51e77b71be80df3124ec.bundle,0bec2539c32a51e77b71be80df3124ec.bundle,2022.3.62f2,-300786409132983399,IllustrationLowRes,512,270,3,Assets/Tracks/XING.ginkiha.0/IllustrationLowRes.jpg;c448d919d2196a44d9e59ab5c65e6f9e,
assets/aa/Android/0c64826c96c15343512933ae667f395e.bundle,0c64826c96c15343512933ae667f395e.bundle,2022.3.62f2,3007287612797408234,IllustrationBlur,256,135,3,24219e15a2143d64cb6d9fc3e8573d68;Assets/Tracks/幻影鬼魅PLEASE.R300K.0/IllustrationBlur.jpg,
assets/aa/Android/0c8ceda3281056308b20cb7d5c2c4658.bundle,0c8ceda3281056308b20cb7d5c2c4658.bundle,2022.3.62f2,4175238703469496885,IllustrationLowRes,512,270,3,Assets/Tracks/SolaggyfeatUzumaki.ShrimpCatsはぁち後藤涼輔.0/IllustrationLowRes.jpg;d415e0bbf0497664c9cd267009cae7eb,
assets/aa/Android/0d2cbfbe2a9ea28349560fc8b5cef03d.bundle,0d2cbfbe2a9ea28349560fc8b5cef03d.bundle,2022.3.62f2,8824616777934336448,Illustration,2048,1080,3,6bb3fd186cc09f9439a03e9690dc3dcd;Assets/Tracks/FULiAUTOBUSTER.MYUKKE.0/Illustration.jpg,
assets/aa/Android/0dcedc443333e239ae56205fa5c62470.bundle,0dcedc443333e239ae56205fa5c62470.bundle,2022.3.62f2,5253712492708875921,Sein,128,128,34,491f6322cea8a9245a5322c57fe344d2;avatar.Sein,
assets/aa/Android/0e032d6e9dccdcd7413de5e327b16903.bundle,0e032d6e9dccdcd7413de5e327b16903.bundle,2022.3.62f2,-7082905443007451644,Winter ↑cube↓,128,128,34,avatar.Winter ↑cube↓;bcd91d2fbf024354e85d70d121dca862,
assets/aa/Android/0e11afa8faaf0119cc073a1727ac6815.bundle,0e11afa8faaf0119cc073a1727ac6815.bundle,2022.3.62f2,-2412307308848590819,MaimaiBlur,1024,540,3,Assets/Tracks/#ChapterCover/MaimaiBlur.jpg;f2199b12e55fad64bb3bf3b55700fb95,
assets/aa/Android/0e325267c5540823672ece9a44cb5898.bundle,0e325267c5540823672ece9a44cb5898.bundle,2022.3.62f2,-797657877983340967,Illustration,2048,1080,3,9f604456504489d4cb42e27b46043bb6;Assets/Tracks/DevIAtiOnshortver.polysha.0/Illustration.jpg,
assets/aa/Android/0e8bcf7c745cb96f7d4bded261b7d812.bundle,0e8bcf7c745cb96f7d4bded261b7d812.bundle,2022.3.62f2,1065150478320106640,IllustrationBlur,256,135,3,0ee199a9ef3157b429fbd289ced3d909;Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/IllustrationBlur.jpg,
assets/aa/Android/0e9b8f5c403fa2dd599e148f33440ebe.bundle,0e9b8f5c403fa2dd599e148f33440ebe.bundle,2022.3.62f2,-4266447474638692956,IllustrationLowRes,512,270,3,70b3f03a2b38f25448ece4f3196815ce;Assets/Tracks/Orthodox.tokiwa.0/IllustrationLowRes.jpg,
assets/aa/Android/0eb1a977dc442a59db8c8acd30b8fc37.bundle,0eb1a977dc442a59db8c8acd30b8fc37.bundle,2022.3.62f2,-3555423556494110042,Font Texture,0,0,4,4eb8f4be195de014fa4e2068a43b2ff0;LevelMod/TheChariotLevelEffect,
